,categoryName,isAdvertisement,isLocalGuide,language,likesCount,publishAt,publishedAtDate,reviewContext/Reservation recommended,reviewContext/Visited on,reviewContext/Wait time,reviewerNumberOfReviews,reviewsCount,stars,state,temporarilyClosed,text,title,totalScore,responseFromOwnerDate,responseFromOwnerText,sentiment,Unnamed: 0
59,Tourist attraction,False,True,en,0,3 years ago,2022-04-29T01:43:35.928Z,No,Weekday,No wait,106,1072,5,Northern Territory,False,"A great place of history, the hologram videos were great and the VR experience gave you that further history which you would not have known about.",RFDS Darwin Tourist Facility,4.7,2022-04-29T23:43:32.000Z,"Thank you Celia for your great review! We agree the technology we have to offer here is a great way to learn about the history of both stories. We hope to see you again in the future!

Kind Regards
RFDS Team",Positive,
60,Tourist attraction,False,True,en,0,8 months ago,2025-01-19T03:52:26.710Z,No,Weekend,No wait,123,1072,5,Northern Territory,False,"An amazing experience, you get to see and feel what it was like during the bombing of Darwin. Also included was an insight into the Royal flying doctors service, past and present. Such and important service provided by the Australian government and public donations,",RFDS Darwin Tourist Facility,4.7,2025-02-17T01:17:17.000Z,"Hi Chris - Thank you for your 5 stars! We appreciate you taking time to leave a review.
Regards,
RFDS Team",Positive,
61,Tourist attraction,False,True,en,0,3 years ago,2022-01-13T11:15:35.848Z,No,Weekday,No wait,74,1072,5,Northern Territory,False,"I had no idea this existed until I was driving around with my friend from interstate.
So much attention to detail had gone into the planning of this small museum, and although it's small, don't be fooled! It is packed with so much information and every 20 minutes the air raid siren goes off, to which you go to the middle of the building.... and I am going to leave it there because I won't ruin your experience.
It has lots of information on the Royal Flying Doctors as well as the Darwin bombings.
There was so much I didn't know about the bombings and I can't wait to come back and watch the viewings next time.",RFDS Darwin Tourist Facility,4.7,2022-01-22T01:14:15.000Z,"Hi Annalise, thank you so much for your great review! The bombing platform is a favourite for many of our visitors. So glad you enjoyed your time here and we look forward to seeing you again!
- RFDS team",Positive,
62,Tourist attraction,False,True,en,0,3 years ago,2022-04-26T06:13:21.639Z,Not sure,Public holiday,No wait,31,1072,5,Northern Territory,False,"Absolutely amazing experience! Very interesting history of Royal Flying Doctor Service and also Darwin during WWII including movies and VR experience!
A real RFDS PC12 aircraft (VH-FMP), which was in service for many years, makes the visit a very special as well.",RFDS Darwin Tourist Facility,4.7,2022-04-28T04:14:57.000Z,"Thank you so much Karen for your great review! The plane is always one of the favourite features we have to offer, especially the young ones. We hope to see you again another time!

Kind Regards
RFDS Team",Positive,
63,Tourist attraction,False,True,en,0,4 years ago,2021-06-01T22:09:33.617Z,No,Weekday,No wait,19,1072,5,Northern Territory,False,"Very exciting place, No 1 on your list, down on the wharf near all the restaurants. A very good display of RFDS includes a movie, 3D head sets, the bombing of Darwin plus. Plenty to keep you occupied for a couple of hours admin.is reasonable.",RFDS Darwin Tourist Facility,4.7,2021-06-19T03:51:17.000Z,Thank you for your great review. We are happy to hear you enjoyed your time at our facility and Stokes Hills Wharf.,Positive,
64,Tourist attraction,False,True,en,0,4 months ago,2025-05-07T06:08:49.005Z,No,Weekday,No wait,43,1072,4,Northern Territory,False,"Good experience, loved the VR & hologram (but please clean the screen).",RFDS Darwin Tourist Facility,4.7,2025-07-06T03:40:02.000Z,Thank you for taking the time to leave feedback on your experience at RFDS Darwin Tourist Facility.,Positive,
65,Tourist attraction,False,True,en,0,5 months ago,2025-04-17T07:39:54.961Z,Yes,Weekend,No wait,46,1072,5,Northern Territory,False,This place is another must do in Darwin another amazing experience the virtual reality displays put you in the hot seat fantastic,RFDS Darwin Tourist Facility,4.7,2025-04-19T03:42:09.000Z,"Thank you so much for taking time to leave us a review. We are so happy you came to visit us. We hope to see you again one day,
Your RFDS team in Darwin 
",Positive,
66,Tourist attraction,False,True,en,0,3 months ago,2025-06-15T14:59:48.205Z,No,Weekday,No wait,11,1072,5,Northern Territory,False,Small facility but the movies they play are excellent and informative,RFDS Darwin Tourist Facility,4.7,2025-06-19T04:48:06.000Z,"We appreciate you taking the time to review our exhibit and very glad to hear it worthy of 5 stars!
Team RFDS",Positive,
67,Tourist attraction,False,True,en,0,a year ago,2024-06-26T08:36:35.630Z,Yes,Weekend,No wait,151,1072,5,Northern Territory,False,"Visited on our first day. Probably the best museum anywhere. Incredible use of virtual reality headsets for information on the Darwin bombing and RFDS plane. 2 very informative films on these subjects. Nice gift shop to buy things to support RFDS.
Very helpful staff to explain use of the goggles and offered to store bags.",RFDS Darwin Tourist Facility,4.7,2024-07-02T04:53:43.000Z,"Thank you for your wonderful review.
Our team is delighted to hear you made great use of the virtual reality and technology we have available. 
Thank you for your support of the RFDS, and we hope to see you back at the Darwin Tourist Facility soon! 

Kind regards, 
The RFDS Team",Positive,
68,Tourist attraction,False,True,en,0,3 years ago,2022-08-08T07:35:18.863Z,Yes,Weekday,No wait,455,1072,5,Northern Territory,False,"A very interesting place, a lot of interactive things to do and see.Give a donation when there as you never know when you will need to use them.",RFDS Darwin Tourist Facility,4.7,2022-08-10T23:56:06.000Z,"Thank you Karen for your 5 star review! The RFDS appreciates any donation big or small. We are thrilled to hear you enjoyed your time at our facility!

Kind Regards
RFDS Team",Positive,
69,Tourist attraction,False,True,en,0,a year ago,2024-05-12T10:52:44.537Z,No,Weekday,No wait,95,1072,5,Northern Territory,False,Definitely worth a visit if you are in Darwin. Lots of things to see. Highly recommend.,RFDS Darwin Tourist Facility,4.7,2024-05-14T02:47:02.000Z,"Thank you for your five star review! Our staff are pleased you enjoyed your visit to the facility and hope to see you again!

Kind Regards,

The RFDS Team.",Positive,
70,Tourist attraction,False,True,en,0,Edited 2 years ago,2022-10-04T13:37:46.718Z,No,Weekend,No wait,233,1072,5,Northern Territory,False,Excellent and informative site. Perhaps let people know there is a free shuttle around the waterfront  it took me over an hour to walk.,RFDS Darwin Tourist Facility,4.7,2022-10-03T04:05:44.000Z,"Thanks so much for the 5 Star review, we are very proud of our facility.
Kind Regards the RFDS team.",Positive,
71,Tourist attraction,False,True,en,0,2 years ago,2023-01-11T04:55:21.284Z,No,Weekday,No wait,87,1072,5,Northern Territory,False,"Very friendly staff, excellent use of technology to help us learn all about the RFDS and the bombing of Darwin. Entry price was a little on the high side but you learn that the RFDS does rely partially on donations to keep operating.",RFDS Darwin Tourist Facility,4.7,2023-01-14T03:26:53.000Z,"Thanks Caroline for the 5 star review, we are so happy that you enjoyed the experience and learned more about these iconic events. The entry fee goes back to helping keep the RFDS going, all donations are greatly appreciated.
Kind Regards
The RFDS team.",Positive,
73,Tourist attraction,False,True,en,0,4 years ago,2021-05-23T04:05:14.639Z,No,Weekday,No wait,161,1072,5,Northern Territory,False,"Absolutely the best experience to date in Darwin. VR experience, holigram are excellent. staff very helpful",RFDS Darwin Tourist Facility,4.7,2021-06-18T02:36:51.000Z,"Thank you for your wonderful review, our team is very happy to hear that you enjoyed your visit to the RFDS Facility
Kind Regards
Sam",Positive,
74,Tourist attraction,False,False,en,0,10 months ago,2024-11-21T05:08:00.300Z,Yes,Weekday,No wait,3,1072,5,Northern Territory,False,My husband and I visited the RFDS and the Bombing of Darwin Tourist Facility yesterday morning.  It was recommended to us by a Darwin local who we met at Litmiluk Gorge.  Thank you to the delightful front counter lady on reception for making us feel so welcome.  I’ll wear my RFDS Supporter t-shirt with pride.  See you next time we visit this wonderful city.,RFDS Darwin Tourist Facility,4.7,2024-11-24T00:13:52.000Z,"Hi Michele
Thanks for your 5 star review and we are so happy to hear how much you enjoyed your visit and Darwin in general.
It's great to know that all proceeds from our beautiful souvenir store go to the RFDS and you truly are supporting us.
Regards
RFDS Team",Positive,
75,Tourist attraction,False,True,en,0,11 months ago,2024-10-02T11:20:44.124Z,No,Weekend,No wait,103,1072,5,Northern Territory,False,A nice small tourist centre. The virtual reality of the bombing of Darwin was great and the holographic documentary of the RFDS was very informative. Not sure why the bombing of Darwin documentary experience was told from the perspective of a US Navy personnel but it was interesting.,RFDS Darwin Tourist Facility,4.7,2024-10-08T23:24:19.000Z,"Hi Amy, thank you for your five star review!
The Bombing of Darwin hologram film is told from the perspective of Rear Admiral Etheridge Grant because he was the person that kept the most detailed notes/information about what happened, and his personal experience on the 19th of February 1942.

Kind regards,
The RFDS Team",Positive,
76,Tourist attraction,False,True,en,0,a month ago,2025-07-22T04:09:42.704Z,No,Weekday,No wait,63,1072,5,Northern Territory,False,"Great exhibition on the bombing of Darwin, definitely worth a visit.",RFDS Darwin Tourist Facility,4.7,2025-07-31T00:20:15.000Z,"Thank you for taking the time to leave such a positive review!
Kind regards,
Team RFDS",Positive,
77,Tourist attraction,False,True,en,0,2 years ago,2023-09-07T12:35:41.657Z,No,Weekday,No wait,31,1072,5,Northern Territory,False,Very informative War Museum and RFDS Museum. Cool VR experiences of the Bombing of Darwin and RFDS Flights. Awesome location as well!,RFDS Darwin Tourist Facility,4.7,2023-09-07T23:44:09.000Z,"Thanks for taking the time to review our facility, great that you found the experience informative, we agree the technology is a cool way to learn about these iconic events.
Kind Regards
The RFDS team.",Positive,
78,Tourist attraction,False,True,en,0,Edited 2 years ago,2023-05-11T20:11:53.388Z,No,Weekday,No wait,144,1072,4,Northern Territory,False,A very interesting place. The VR experiences were awesome.,RFDS Darwin Tourist Facility,4.7,2022-11-06T00:35:21.000Z,"Thank you Michelle for taking the time to leave us a review! We're glad to hear you enjoyed your time with us. 

Kind Regards,
RFDS Team",Positive,
