title,url,stars,text
Spirit of Darwin Sunset Dinner Cruise | Darwin’s most affordable Dinner cruise,https://www.google.com/maps/search/?api=1&query=Spirit%20of%20Darwin%20Sunset%20Dinner%20Cruise%20%7C%20Darwin%E2%80%99s%20most%20affordable%20Dinner%20cruise&query_place_id=ChIJESgQdhuRwCwR-dBkK4jB5fE,5,Lovely crew! Beautiful and romantic experience 🥰
Spirit of Darwin Sunset Dinner Cruise | Darwin’s most affordable Dinner cruise,https://www.google.com/maps/search/?api=1&query=Spirit%20of%20Darwin%20Sunset%20Dinner%20Cruise%20%7C%20Darwin%E2%80%99s%20most%20affordable%20Dinner%20cruise&query_place_id=ChIJESgQdhuRwCwR-dBkK4jB5fE,5,"Wow! Soooo good, enjoyed the tour and learnt a bit more about Darwin, beautiful boat, great dinner! 😁👍Thank you"
Spirit of Darwin Sunset Dinner Cruise | Darwin’s most affordable Dinner cruise,https://www.google.com/maps/search/?api=1&query=Spirit%20of%20Darwin%20Sunset%20Dinner%20Cruise%20%7C%20Darwin%E2%80%99s%20most%20affordable%20Dinner%20cruise&query_place_id=ChIJESgQdhuRwCwR-dBkK4jB5fE,5,An amazing evening! Penny and the girls were great. I'll be recommending this cruise to everyone. And the fish and chips were fresh and hot. Totally worth it and I look forward to doing it again. Well done (girl) team 🙌
Spirit of Darwin Sunset Dinner Cruise | Darwin’s most affordable Dinner cruise,https://www.google.com/maps/search/?api=1&query=Spirit%20of%20Darwin%20Sunset%20Dinner%20Cruise%20%7C%20Darwin%E2%80%99s%20most%20affordable%20Dinner%20cruise&query_place_id=ChIJESgQdhuRwCwR-dBkK4jB5fE,5,"Awesome cruise, lovely food, great hosts and friendly staff.
Highly recommend whilst visiting Darwin."
Spirit of Darwin Sunset Dinner Cruise | Darwin’s most affordable Dinner cruise,https://www.google.com/maps/search/?api=1&query=Spirit%20of%20Darwin%20Sunset%20Dinner%20Cruise%20%7C%20Darwin%E2%80%99s%20most%20affordable%20Dinner%20cruise&query_place_id=ChIJESgQdhuRwCwR-dBkK4jB5fE,5,The captain gave a detailed introduction to Darwin. The meals were delicious. We even had a small fish feeding activity along the way. My family was very satisfied with this trip.
Spirit of Darwin Sunset Dinner Cruise | Darwin’s most affordable Dinner cruise,https://www.google.com/maps/search/?api=1&query=Spirit%20of%20Darwin%20Sunset%20Dinner%20Cruise%20%7C%20Darwin%E2%80%99s%20most%20affordable%20Dinner%20cruise&query_place_id=ChIJESgQdhuRwCwR-dBkK4jB5fE,5,This dinner cruise was excellent.   The team on the Spirit of Darwin were friendly and professional and went over and above to make sure we had a great time.  The commentary was really interesting and the quality of the sound system was actually fantastic compared with what can often be the case on such cruises.   I loved the beanbags on the front deck; it gave it more of a 'cruising' feel rather than sitting inside the whole time.   The food was great and there was a really good variety of drinks available for purchase.   Overall a memorable evening.
Spirit of Darwin Sunset Dinner Cruise | Darwin’s most affordable Dinner cruise,https://www.google.com/maps/search/?api=1&query=Spirit%20of%20Darwin%20Sunset%20Dinner%20Cruise%20%7C%20Darwin%E2%80%99s%20most%20affordable%20Dinner%20cruise&query_place_id=ChIJESgQdhuRwCwR-dBkK4jB5fE,5,"My partner organized this as a surprise for my birthday last night. We were both highly impressed, awesome crew so happy to have a chat, food was amazing and the sunset was beautiful. Cannot recommend this highly enough!"
Spirit of Darwin Sunset Dinner Cruise | Darwin’s most affordable Dinner cruise,https://www.google.com/maps/search/?api=1&query=Spirit%20of%20Darwin%20Sunset%20Dinner%20Cruise%20%7C%20Darwin%E2%80%99s%20most%20affordable%20Dinner%20cruise&query_place_id=ChIJESgQdhuRwCwR-dBkK4jB5fE,5,"What a hidden gem! This family-owned and operated cruise was the perfect ending to our travels in Darwin. Would recommend to all my friends but none of them are Aussies!!! Great tour of the city and wonderful views, we enjoyed our literal last minute booking and dinner with the cruise staff being fun to talk with and extremely knowledgable. Dinner was extra tasty and the appetizers as we cruised were a nice bonus. Highly recommend versus other cruises!!!! Thanks"
Spirit of Darwin Sunset Dinner Cruise | Darwin’s most affordable Dinner cruise,https://www.google.com/maps/search/?api=1&query=Spirit%20of%20Darwin%20Sunset%20Dinner%20Cruise%20%7C%20Darwin%E2%80%99s%20most%20affordable%20Dinner%20cruise&query_place_id=ChIJESgQdhuRwCwR-dBkK4jB5fE,5,Great value. Excellent dinner. Fish feeding a bonus. Well done. Highly recommend.
Spirit of Darwin Sunset Dinner Cruise | Darwin’s most affordable Dinner cruise,https://www.google.com/maps/search/?api=1&query=Spirit%20of%20Darwin%20Sunset%20Dinner%20Cruise%20%7C%20Darwin%E2%80%99s%20most%20affordable%20Dinner%20cruise&query_place_id=ChIJESgQdhuRwCwR-dBkK4jB5fE,5,Absolutely the most beautiful sunset I’ve ever seen. You watch the sun going down and the magnificent colours of the sunset. They are the most brilliant comours.
